INC_PCT_LO,DEP_STAT_PCT_IND,DEP_INC_PCT_LO,IND_INC_PCT_LO,PAR_ED_PCT_1STGEN,INC_PCT_M1,INC_PCT_M2,INC_PCT_H1,INC_PCT_H2,DEP_INC_PCT_M1,DEP_INC_PCT_M2,DEP_INC_PCT_H1,DEP_INC_PCT_H2,IND_INC_PCT_M1,IND_INC_PCT_M2,IND_INC_PCT_H1,IND_INC_PCT_H2
0.3596059113,0.0935960591,PrivacySuppressed,PrivacySuppressed,0.2594594595,0.1477832512,0.1625615764,0.1502463054,0.1798029557,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
0.747553816,0.1624266145,0.7133956386,0.9236947791,0.4240601504,0.1409001957,0.0600130463,0.0293542074,0.0221787345,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
0.4281842818,0.2994579946,0.2959381044,0.7375565611,0.3532934132,0.1558265583,0.1531165312,0.1517615176,0.1111111111,0.1721470019,0.1895551257,PrivacySuppressed,PrivacySuppressed,0.1176470588,0.0678733032,PrivacySuppressed,PrivacySuppressed
0.4261715296,0.183908046,0.3445287107,0.7884615385,0.3710144928,0.142351901,0.1635720601,0.1485411141,0.1193633952,0.1484290358,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.1153846154,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
0.6658595642,0.3801452785,0.5703125,0.821656051,0.5428176796,0.1638418079,0.0968523002,0.0544794189,0.0189669088,0.2005208333,0.1223958333,PrivacySuppressed,PrivacySuppressed,0.1040339703,0.0552016985,PrivacySuppressed,PrivacySuppressed
0.4225654226,0.2123552124,0.3469498911,0.703030303,0.3891175126,0.1784641785,0.1625911626,0.1368511369,0.0995280995,0.1906318083,0.181372549,0.1623093682,0.1187363834,0.1333333333,0.0929292929,0.0424242424,0.0282828283
0.6706028589,0.3884400249,0.5914634146,0.7952,0.5943804035,0.1622125544,0.1180857676,0.0379117464,0.0111870727,0.1890243902,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.12,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
0.4231707317,0.1817073171,0.3517138599,0.744966443,0.1875843455,0.1963414634,0.1487804878,0.1256097561,0.106097561,0.2026825633,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.1677852349,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
0.8120868744,0.2861189802,0.7619047619,0.9372937294,0.534351145,0.1274787535,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
0.5982142857,0.8839285714,PrivacySuppressed,PrivacySuppressed,0.3465346535,0.1517857143,0.1160714286,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
0.8475,0.57,0.8023255814,0.8815789474,0.5562130178,0.115,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
0.8894230769,0.4647435897,0.8431137725,0.9427586207,0.476635514,0.0846153846,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.1233532934,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.04,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
0.2541507024,0.1328224777,0.1944035346,0.6442307692,0.1464713715,0.1060025543,0.1558109834,0.1519795658,0.3320561941,0.1045655376,0.1634756996,PrivacySuppressed,PrivacySuppressed,0.1153846154,0.1057692308,PrivacySuppressed,PrivacySuppressed
0.9209302326,0.5418604651,PrivacySuppressed,PrivacySuppressed,0.6174698795,0.0511627907,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
0.7839659454,0.3639588507,0.7166759621,0.9015594542,0.4881439084,0.1599858106,0.0525008868,PrivacySuppressed,PrivacySuppressed,0.2136084774,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.0662768031,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
0.6472889883,0.3767467859,0.5659192825,0.7818991098,0.545154911,0.1676914477,0.1173840134,0.0519843488,0.0156512018,0.1883408072,0.1497757848,PrivacySuppressed,PrivacySuppressed,0.1335311573,0.0637982196,PrivacySuppressed,PrivacySuppressed
0.4681522382,0.246696904,0.3772251309,0.7458033573,0.3543979505,0.1609150069,0.1435614277,0.1212778545,0.1060934727,0.1712041885,0.1688481675,0.1476439791,0.135078534,0.1294964029,0.0663469225,0.0407673861,0.0175859313
