UGDS,UG,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,UGDS_WHITENH,UGDS_BLACKNH,UGDS_API,UGDS_AIANOLD,UGDS_HISPOLD,UG_NRA,UG_UNKN,UG_WHITENH,UG_BLACKNH,UG_API,UG_AIANOLD,UG_HISPOLD,UGDS_MEN,UGDS_WOMEN
3759.0,,0.4185,0.0492,0.457,0.013000000000000001,0.0074,0.0067,0.0229,0.004,0.0213,,,,,,,,,,,,,0.4616,0.5384
60.0,,0.5167,0.0333,0.1333,0.0,0.2833,0.0,0.0333,0.0,0.0,,,,,,,,,,,,,0.05,0.95
97.0,,0.268,0.2165,0.3918,0.0206,0.0722,0.0103,0.0206,0.0,0.0,,,,,,,,,,,,,0.1134,0.8866
130.0,,0.4923,0.0231,0.3923,0.0154,0.0231,0.0,0.0077,0.0,0.0462,,,,,,,,,,,,,0.2308,0.7692
360.0,,0.5056,0.0972,0.3028,0.0111,0.0333,0.0028,0.025,0.0,0.0222,,,,,,,,,,,,,0.0528,0.9472
4634.0,,0.585,0.0457,0.2098,0.0108,0.0872,0.0056,0.0108,0.0093,0.0358,,,,,,,,,,,,,0.4987,0.5013
1971.0,,0.5753,0.0167,0.0558,0.0553,0.0036,0.0056,0.0939,0.0989,0.0949,,,,,,,,,,,,,0.7757,0.2243
,,,,,,,,,,,,,,,,,,,,,,,,
16156.0,,0.4431,0.0712,0.3424,0.043,0.0164,0.0032,0.0221,0.0106,0.048,,,,,,,,,,,,,0.4689,0.5311
38905.0,,0.479,0.1867,0.1652,0.0443,0.0093,0.0048,0.0276,0.0,0.0831,,,,,,,,,,,,,0.2487,0.7513
188.0,,0.2713,0.25,0.36700000000000005,0.016,0.016,0.0,0.016,0.0,0.0638,,,,,,,,,,,,,0.0851,0.9149
5211.0,,0.3585,0.1201,0.3389,0.0355,0.0451,0.0029,0.0127,0.0161,0.0702,,,,,,,,,,,,,0.4711,0.5289
19055.0,,0.5002,0.0661,0.2354,0.039,0.0403,0.0046,0.0205,0.0257,0.0682,,,,,,,,,,,,,0.499,0.501
400.0,,0.4375,0.0625,0.3375,0.0275,0.0525,0.005,0.035,0.0,0.0425,,,,,,,,,,,,,0.69,0.31
445.0,,0.4427,0.0921,0.2517,0.0247,0.1326,0.0,0.0292,0.0,0.027000000000000003,,,,,,,,,,,,,0.7528,0.2472
4044.0,,0.7085,0.0138,0.1946,0.0163,0.0185,0.0057,0.022000000000000002,0.0,0.0205,,,,,,,,,,,,,0.3506,0.6494
1724.0,,0.6972,0.0365,0.0835,0.0041,0.0203,0.0087,0.0812,0.0012,0.0673,,,,,,,,,,,,,0.9495,0.0505
1420.0,,0.0056,0.0014,0.0007,0.0028,0.9894,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.3415,0.6585
23189.0,,0.6109,0.0336,0.2034,0.0165,0.0272,0.0025,0.0517,0.0482,0.006,,,,,,,,,,,,,0.4238,0.5762
1691.0,,0.4672,0.0106,0.0905,0.0065,0.3732,0.0018,0.0059,0.0,0.0444,,,,,,,,,,,,,0.3454,0.6546
345.0,,0.5188,0.0957,0.1449,0.0087,0.0319,0.0029,0.0348,0.0029,0.1594,,,,,,,,,,,,,0.3014,0.6986
9921.0,,0.2543,0.1104,0.4619,0.0345,0.0272,0.0027,0.0152,0.0042,0.0895,,,,,,,,,,,,,0.3678,0.6322
87.0,,0.4943,0.046,0.1724,0.0345,0.0345,0.0,0.046,0.0,0.1724,,,,,,,,,,,,,0.2874,0.7126
24590.0,,0.4163,0.0448,0.4263,0.0296,0.024,0.0031,0.0336,0.0072,0.0151,,,,,,,,,,,,,0.4523,0.5477
1948.0,,0.4533,0.0657,0.3676,0.0498,0.0149,0.0021,0.0344,0.0005,0.0118,,,,,,,,,,,,,0.2521,0.7479
892.0,,0.2186,0.0247,0.5504,0.0157,0.1222,0.0,0.0348,0.0,0.0336,,,,,,,,,,,,,0.1861,0.8139
454.0,,0.7004,0.0198,0.0176,0.022000000000000002,0.0352,0.0,0.0352,0.0485,0.1211,,,,,,,,,,,,,0.4097,0.5903
695.0,,0.4173,0.0791,0.282,0.0086,0.0763,0.0101,0.0245,0.0029,0.0993,,,,,,,,,,,,,0.9741,0.0259
8366.0,,0.5411,0.1248,0.2005,0.023,0.0204,0.0026,0.0195,0.0053,0.0629,,,,,,,,,,,,,0.3248,0.6752
