UNITID,GRAD_DEBT_MDN,WDRAW_DEBT_MDN,LO_INC_DEBT_MDN,MD_INC_DEBT_MDN,HI_INC_DEBT_MDN,DEP_DEBT_MDN,IND_DEBT_MDN,FEMALE_DEBT_MDN,MALE_DEBT_MDN,FIRSTGEN_DEBT_MDN,NOTFIRSTGEN_DEBT_MDN,CUML_DEBT_P90,CUML_DEBT_P75,CUML_DEBT_P25,CUML_DEBT_P10,LOAN_EVER
446394,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
446400,6428,4750,6417,PrivacySuppressed,PrivacySuppressed,6417,6417,6417,6417,6417,6417,9500,9500,4750,3250,0.758865248
446446,9500,4597,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,9500,9130,9500,9130,16577,9500,6332,3166,0.898305085
446455,PrivacySuppressed,PrivacySuppressed,6340,PrivacySuppressed,PrivacySuppressed,5035,6425,PrivacySuppressed,PrivacySuppressed,6308,6329,PrivacySuppressed,7875,3715,PrivacySuppressed,0.762886598
446464,9500,9500,9500,PrivacySuppressed,PrivacySuppressed,9500,9500,9500,9500,9500,9500,PrivacySuppressed,9500,8742,PrivacySuppressed,PrivacySuppressed
446516,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
446525,12000,5929,9500,9500,6855,8750,9500,9500,9500,9500,9500,20000,14125,4750,3632,0.921052632
446534,9500,4750,9500,PrivacySuppressed,PrivacySuppressed,5500,9500,9500,9500,9500,9500,9500,9500,5500,3500,0.602339181
446543,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,9500,5500,PrivacySuppressed,PrivacySuppressed
446552,20000,6334,13468,16500,11473,12000,15299.5,13652,14345.5,14500,13078,21750,20000,6334,3167,0.88469285
446561,20000,4750,13625,16500,12000,12000,19596,14751,12000,15250,13625,20000,20000,6883,3503,0.933222037
446570,9495.5,5500,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,8745,8526.5,8339,8729.5,PrivacySuppressed,9500,5641,PrivacySuppressed,PrivacySuppressed
446589,6500,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,5500,6500,6500,6500,6500,6500,7500,7500,5283,3500,0.902723735
446598,15625,PrivacySuppressed,13894,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,16063,9396,PrivacySuppressed,PrivacySuppressed
446604,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
